avg_outflow,avg_inflow,total_grid,Am,BOD,COD,TN,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,year,month,day
2.941,2.589,175856,27,365,730,60.378,19.3,25.1,12.6,0,56,1.52,10,26.9,53.5,79.5,2014,1,1
2.936,2.961,181624,25,370,740,60.026,17.1,23.6,12.3,0,63,0,10,14.4,27.8,0,2014,1,2
2.928,3.225,202016,42,418,836,64.522,16.8,27.2,8.8,0,47,0.25,10,31.9,61.1,77.8,2014,1,5
2.928,3.354,207547,36,430,850,63,14.6,19.9,11.1,0,49,0,10,27,38.9,53.5,2014,1,6
2.917,3.794,202824,46,508,1016,65.59,13.4,19.1,8,0,65,0,10,20.6,35.2,53.5,2014,1,7
2.912,3.75,247691,40,410,820,61.786,18.9,27.3,7.7,0,52,0,0,15.6,31.7,0,2014,1,8
2.355,3.507,224706,51,555,1110,68.82,25.9,32.4,12.1,0,39,0,0,26.7,46.5,59.4,2014,1,9
2.366,3.188,212440,41,365,730,62.218,17.7,24.6,13,0,69,0,9.8,13.1,25.9,0,2014,1,12
3.923,3.378,202676,26,355,710,61.433,26.4,36,12.7,0,44,0,0,19.8,51.9,64.8,2014,1,13
3.912,3.425,202411,42,530,830,66.354,35.5,43.5,28.5,0,20,0,0,27.8,57.6,72.2,2014,1,14
2.971,3.775,171123,47,435,870,65.531,32.1,42.9,23.7,0,29,0,0,18,35.2,0,2014,1,15
3.833,3.763,193509,43,295,590,59.548,33.9,43.1,23.7,0,24,0,0,19.3,46.5,0,2014,1,16
2.984,3.487,205761,38,600,1200,68.82,19.2,23.1,15.2,0,64,0,10,24.8,31.7,0,2014,1,19
3.236,3.604,184108,38,465,930,64.568,18.4,24.7,15.8,0,66,0,10,25.6,35.2,0,2014,1,20
2.95,3.6,200044,38,505.5,1011,65.59,17.6,22.6,14,0,61,0,10,25,37,46.5,2014,1,21
2.935,3.481,173825,47,470,980,76,16.3,23.4,10,0,59,0,0,17.4,29.4,0,2014,1,22
2.937,3.623,230632,39,431,862,64.847,23.6,33.7,10.2,0,52,1.52,8.5,14.8,27.8,46.5,2014,1,23
3.308,3.785,236472,45,380,760,62.09,16.3,22.8,12.8,0,72,4.32,10,21.9,31.7,0,2014,1,24
2.933,3.596,214057,36,345,690,63.227,29.3,35.5,16.7,0,26,0,0,32.6,48.2,66.5,2014,1,27
2.94,3.642,204062,29,286.5,573,54.63,27.2,42.1,17.6,0,34,0,10,25.7,51.9,70.6,2014,1,28
3.427,3.519,245524,31,360,720,61.496,17.7,23.7,13,0,64,0,10,20.2,33.5,46.5,2014,1,29
2.98,3.541,230113,38,380,840,65.374,22.6,31.1,12.9,0,55,0,8,13.3,22.2,0,2014,1,30
2.997,3.526,214635,43,344,688,63.521,31.7,40.5,23,0,23,0,0,15.6,33.5,46.5,2014,2,2
2.978,3.542,210017,44,390.5,781,62.569,19.2,0,13.8,0,56,0.51,10,29.6,38.9,57.6,2014,2,3
2.983,3.332,201393,35,391.5,783,62.218,17.7,25,10.8,0,54,0,10,25.7,44.6,59.4,2014,2,4
2.989,3.249,201578,48,270,740,55,22.5,30.9,10.6,0,42,0,0,20,51.9,0,2014,2,5
2.991,3.408,190528,46,385,770,63.38,28.7,35.3,14.2,0,27,0,0,29.8,51.9,59.4,2014,2,6
2.989,3.498,177913,41,377.5,755,62.371,21.8,0,13,0,36,0,10,25.4,57.6,79.5,2014,2,9
